Nome,Objetivo,Precondição,Status,Priority,Script de Teste (BDD),Automatizado,Validação em Banco de Dados
"N - Autenticação - Acesso Simultâneo (Bloqueado)","Garantir que o sistema bloqueie ou encerre sessões anteriores quando o mesmo usuário logar em outro local","Existir um usuário ativo cadastrado e regra de negócio que não permita acesso simultâneo","Approved","Alta","Given que um usuário esteja logado em um dispositivo;When o mesmo usuário tentar fazer login em outro dispositivo;And informar credenciais válidas;Then o sistema permite o novo acesso;And encerra automaticamente a sessão anterior;Or exibe mensagem ""Já existe uma sessão ativa. Deseja encerrá-la?""","A ser automatizado","Não se aplica"
"N - Autenticação - Campo de Senha com Mascaramento","Garantir que o campo de senha exiba os caracteres mascarados por segurança","N/A","Approved","Baixa","Given que o usuário esteja na tela de login;When digitar caracteres no campo de senha;Then os caracteres são exibidos como símbolos (ex: •••••);And não são exibidos em texto claro","A ser automatizado","Não se aplica"
"N - Autenticação - Botão de Login Desabilitado","Garantir que o botão de login só seja habilitado quando todos os campos obrigatórios estiverem preenchidos","N/A","Approved","Média","Given que o usuário esteja na tela de login;When nenhum campo ou apenas um campo estiver preenchido;Then o botão de login permanece desabilitado;When ambos os campos estiverem preenchidos;Then o botão de login fica habilitado","A ser automatizado","Não se aplica"
"N - Autenticação - Mensagem de Erro Genérica","Garantir que a mensagem de erro não revele se foi o usuário ou a senha que está incorreto","N/A","Approved","Alta","Given que o usuário esteja na tela de login;When informar um usuário inválido com senha qualquer;Or informar um usuário válido com senha incorreta;Then o sistema exibe a mesma mensagem genérica ""Usuário ou senha inválidos"";And não especifica qual campo está errado","A ser automatizado","Não se aplica"
"N - Autenticação - Exibição de CAPTCHA Após Tentativas","Garantir que o CAPTCHA seja exibido após múltiplas tentativas de login falhas","N/A","Approved","Alta","Given que um usuário tenha falhado o login por X vezes consecutivas;When tentar novamente fazer login;Then o sistema exibe um CAPTCHA para validação;And só prossegue com o CAPTCHA preenchido corretamente","A ser automatizado","Não se aplica"
"N - Autenticação - Redirecionamento Após Logout","Garantir que após fazer logout, o usuário não consiga acessar páginas internas diretamente","Usuário ter feito logout do sistema","Approved","Alta","Given que um usuário tenha feito logout do sistema;When tentar acessar diretamente uma URL interna (ex: /dashboard) sem estar logado;Then o sistema redireciona para a tela de login;And não permite o acesso à página solicitada","A ser automatizado","Não se aplica"
"N - Autenticação - Sessão Expirada","Garantir que após um período de inatividade, a sessão expire e redirecione para login","Usuário estar logado no sistema","Approved","Alta","Given que um usuário esteja logado no sistema;When ficar inativo por X minutos (tempo configurado para expiração de sessão);And tentar realizar qualquer ação no sistema;Then o sistema redireciona para a tela de login;And exibe mensagem ""Sua sessão expirou. Faça login novamente.""","A ser automatizado","Não se aplica"
"N - Autenticação - Esqueci Senha com E-mail Não Cadastrado","Garantir que o sistema não informe se o e-mail existe ou não por segurança","N/A","Approved","Média","Given que o usuário esteja na tela de ""Esqueci minha senha"";When informar um e-mail que não está cadastrado no sistema;And clicar em ""Enviar"";Then o sistema exibe mensagem genérica ""Se o e-mail estiver cadastrado, você receberá instruções para redefinir sua senha"";And não envia e-mail algum","A ser automatizado","Validar que nenhum token foi gerado no banco"
"N - Autenticação - Link de Redefinição Expirado","Garantir que links de redefinição de senha expirem após o prazo estipulado","Usuário ter solicitado redefinição de senha há mais de X horas","Approved","Alta","Given que um usuário tenha solicitado redefinição de senha há mais de 24h (prazo configurado);When clicar no link de redefinição recebido por e-mail;Then o sistema exibe mensagem ""Link expirado. Solicite uma nova redefinição de senha."";And não permite cadastrar nova senha","A ser automatizado","Validar se o token de redefinição foi invalidado/marcado como expirado no banco"
"N - Autenticação - Token de Redefinição Inválido","Garantir que tokens inválidos ou já utilizados não permitam redefinição de senha","N/A","Approved","Alta","Given que um usuário tente acessar a página de redefinição com um token inválido ou já utilizado;When acessar a URL com o token inválido;Then o sistema exibe mensagem ""Token inválido ou já utilizado. Solicite uma nova redefinição."";And não permite cadastrar nova senha","A ser automatizado","Validar se o token não existe ou foi marcado como utilizado no banco"
"P - Autenticação - Primeiro Acesso com Senha Provisória","Garantir que usuário com senha provisória seja obrigado a trocar a senha no primeiro login","Existir um usuário recém-criado com senha provisória","Approved","Alta","Given que um usuário possua senha provisória fornecida pelo sistema;When fazer login pela primeira vez com esta senha;Then o sistema autentica, mas redireciona imediatamente para a tela de troca de senha obrigatória;And exibe mensagem ""Este é seu primeiro acesso. Defina uma nova senha."";And só permite acessar o sistema após a troca","A ser automatizado","Validar se a senha foi atualizada e o flag de primeiro acesso foi alterado"
